Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Adj Close
2024-09-20 00:00:00-04:00,133.00999450683594,134.9499969482422,132.77000427246094,134.77000427246094,11569200.0,0.0,0.0,MMM,
2024-09-20 00:00:00-04:00,84.0199966430664,84.19000244140625,82.62000274658203,82.88999938964844,2338900.0,0.0,0.0,AOS,
2024-09-20 00:00:00-04:00,113.75,114.16000366210938,113.19999694824219,113.69999694824219,8403000.0,0.0,0.0,ABT,
2024-09-20 00:00:00-04:00,193.0,193.82000732421875,192.1300048828125,193.47000122070312,11659800.0,0.0,0.0,ABBV,
2024-09-20 00:00:00-04:00,332.32000732421875,336.3500061035156,331.8699951171875,336.2200012207031,5230500.0,0.0,0.0,ACN,
2024-09-20 00:00:00-04:00,526.4400024414062,528.6300048828125,515.719970703125,522.2999877929688,6099400.0,0.0,0.0,ADBE,
2024-09-20 00:00:00-04:00,156.0,157.4499969482422,152.47000122070312,155.9499969482422,40217800.0,0.0,0.0,AMD,
2024-09-20 00:00:00-04:00,19.15999984741211,19.15999984741211,18.739999771118164,18.899999618530273,19701600.0,0.0,0.0,AES,
2024-09-20 00:00:00-04:00,107.58000183105469,108.11000061035156,107.06999969482422,107.91999816894531,8461700.0,0.0,0.0,AFL,
2024-09-20 00:00:00-04:00,141.2100067138672,141.39999389648438,137.8800048828125,140.08999633789062,2612100.0,0.0,0.0,A,
2024-09-20 00:00:00-04:00,286.7900085449219,288.94000244140625,285.7300109863281,287.9800109863281,4148400.0,0.0,0.0,APD,
2024-09-20 00:00:00-04:00,129.8300018310547,131.9499969482422,129.02999877929688,131.17999267578125,12473700.0,0.0,0.0,ABNB,
2024-09-20 00:00:00-04:00,99.16000366210938,99.86000061035156,98.36000061035156,99.5199966430664,1880300.0,0.0,0.0,AKAM,
2024-09-20 00:00:00-04:00,88.47000122070312,88.97000122070312,85.44999694824219,86.02999877929688,4531400.0,0.0,0.0,ALB,
2024-09-20 00:00:00-04:00,121.3499984741211,121.93000030517578,119.7699966430664,121.25,1959600.0,0.0,0.0,ARE,
2024-09-20 00:00:00-04:00,254.74000549316406,255.02999877929688,248.94000244140625,252.85000610351562,862000.0,0.0,0.0,ALGN,
2024-09-20 00:00:00-04:00,142.74000549316406,142.77999877929688,140.02999877929688,140.39999389648438,1847700.0,0.48,0.0,ALLE,
2024-09-20 00:00:00-04:00,59.790000915527344,60.060001373291016,59.4900016784668,59.720001220703125,3115300.0,0.0,0.0,LNT,
2024-09-20 00:00:00-04:00,191.10000610351562,193.19000244140625,190.13999938964844,191.0,4397100.0,0.0,0.0,ALL,
2024-09-20 00:00:00-04:00,163.5,163.72999572753906,162.05999755859375,163.58999633789062,40878300.0,0.0,0.0,GOOGL,
2024-09-20 00:00:00-04:00,164.52000427246094,164.75,163.17999267578125,164.63999938964844,46343900.0,0.0,0.0,GOOG,
2024-09-20 00:00:00-04:00,50.25,50.400001525878906,49.91999816894531,50.38999938964844,21937100.0,0.0,0.0,MO,
2024-09-20 00:00:00-04:00,190.22999572753906,191.83999633789062,187.41000366210938,191.60000610351562,100337500.0,0.0,0.0,AMZN,
2024-09-20 00:00:00-04:00,11.039999961853027,11.079999923706055,10.869999885559082,10.899999618530273,16370400.0,0.0,0.0,AMCR,
2024-09-20 00:00:00-04:00,84.33999633789062,85.8499984741211,83.91000366210938,85.62000274658203,3814200.0,0.0,0.0,AEE,
2024-09-20 00:00:00-04:00,102.0,102.26000213623047,101.06999969482422,102.1500015258789,5393500.0,0.0,0.0,AEP,
2024-09-20 00:00:00-04:00,268.3999938964844,271.489990234375,266.95001220703125,268.989990234375,5846100.0,0.0,0.0,AXP,
2024-09-20 00:00:00-04:00,73.44999694824219,73.94000244140625,73.06999969482422,73.76000213623047,15499800.0,0.0,0.0,AIG,
2024-09-20 00:00:00-04:00,231.66000366210938,235.33999633789062,230.74000549316406,235.05999755859375,3682600.0,0.0,0.0,AMT,
2024-09-20 00:00:00-04:00,149.0800018310547,149.1300048828125,145.74000549316406,147.22999572753906,3349800.0,0.0,0.0,AWK,
2024-09-20 00:00:00-04:00,464.07000732421875,465.82000732421875,458.6099853515625,460.6099853515625,1061000.0,0.0,0.0,AMP,
2024-09-20 00:00:00-04:00,171.27000427246094,171.38999938964844,170.02000427246094,171.10000610351562,1237500.0,0.0,0.0,AME,
2024-09-20 00:00:00-04:00,335.1499938964844,338.9700012207031,334.2699890136719,337.3800048828125,4067900.0,0.0,0.0,AMGN,
2024-09-20 00:00:00-04:00,65.19000244140625,65.98999786376953,64.98999786376953,65.91000366210938,8004000.0,0.0,0.0,APH,
2024-09-20 00:00:00-04:00,231.97000122070312,232.47999572753906,224.35000610351562,226.77999877929688,5009500.0,0.0,0.0,ADI,
2024-09-20 00:00:00-04:00,321.5400085449219,321.5400085449219,317.0,320.25,732100.0,0.0,0.0,ANSS,
2024-09-20 00:00:00-04:00,347.04998779296875,349.5899963378906,344.8800048828125,347.0299987792969,1581600.0,0.0,0.0,AON,
2024-09-20 00:00:00-04:00,25.25,25.25,24.700000762939453,25.06999969482422,8762400.0,0.0,0.0,APA,
2024-09-20 00:00:00-04:00,229.97000122070312,233.08999633789062,227.6199951171875,228.1999969482422,318582200.0,0.0,0.0,AAPL,
2024-09-20 00:00:00-04:00,194.35000610351562,195.52999877929688,189.47000122070312,192.16000366210938,14305700.0,0.0,0.0,AMAT,
2024-09-20 00:00:00-04:00,70.80999755859375,70.97000122070312,69.70999908447266,69.83999633789062,7778800.0,0.0,0.0,APTV,
